feature,component,eigenvector_coefficient,covariance_loading
band80_centroid_hz,1,0.7066038101532889,0.9725405059138433
band80_centroid_hz,2,-0.0017792464974549797,-0.001776990285703308
band80_centroid_hz,3,0.7076071577922011,0.23272689286451334
band80_bandwidth_hz,1,0.6185364915477226,0.8513282602955349
band80_bandwidth_hz,2,-0.48415295899425026,-0.483539018431629
band80_bandwidth_hz,3,-0.618876822090589,-0.2035441251334872
band80_peak_hz,1,0.3436912336686661,0.47304251897221633
band80_peak_hz,2,0.8749815692796125,0.8738720301000055
band80_peak_hz,3,-0.3410037966361918,-0.11215369032410032
